Runtime Environments,URI,Definition,Examples,#NAME?,,,,,,,,,,,,,,,,,,,,,
Android,http://cor.esipfed.org/ont/earthcube/RTE_000001,"A runtime environment based on a modified version of the Linux kernel and other open source software, designed primarily for touchscreen mobile devices such as smartphones and tablets.",,,,,,,,,,,,,,,,,,,,,,,
Anaconda,,,,,,,,,,,,,,,,,,,,,,,,,
HPC,http://cor.esipfed.org/ont/earthcube/RTE_000002,A runtime environment that runs on super computers and uses parallel processing techniques to solve complex computational problems.,,,,,,,,,,,,,,,,,,,,,,,
In-the-browser,http://cor.esipfed.org/ont/earthcube/RTE_000003,"A runtime environment that executes in a web browser sandbox, using the browser for user interaction.",,,,,,,,,,,,,,,,,,,,,,,
iOS,http://cor.esipfed.org/ont/earthcube/RTE_000004,"An runtime environment created and developed by Apple Inc. exclusively for its hardware that presently powers many of the company's mobile devices, including the iPhone, and iPod Touch.",,,,,,,,,,,,,,,,,,,,,,,
Linux,http://cor.esipfed.org/ont/earthcube/RTE_000005,A family of open source Unix-like runtime environments based on the Linux kernel.,,,,,,,,,,,,,,,,,,,,,,,
MacOS,http://cor.esipfed.org/ont/earthcube/RTE_000006,A family of runtime environments developed and marketed by Apple Inc. as the primary operating system for Apple's Mac family of computers.,,,,,,,,,,,,,,,,,,,,,,,
Unix,http://cor.esipfed.org/ont/earthcube/RTE_000007,"A family of multitasking, multiuser computer runtime environments that derive from the original AT&T Unix.",,,,,,,,,,,,,,,,,,,,,,,
Windows,http://cor.esipfed.org/ont/earthcube/RTE_000008,"A group of graphical runtime environments, all of which are developed, marketed and sold by Microsoft, where each family caters to a certain sector of the computing industry.",,,,,,,,,,,,,,,,,,,,,,,
iPadOS,http://cor.esipfed.org/ont/earthcube/RTE_000009,A runtime environment created and developed by Apple Inc. for their iPad line of tablet computers.,,,,,,,,,,,,,,,,,,,,,,,
Java Servlet Container,http://cor.esipfed.org/ont/earthcube/RTE_000010,A runtime environment that allows an application to run as a servlet inside a software container as a component in a web server.,"Apache Tomcat, GlassFish, Jetty",,,,,,,,,,,,,,,,,,,,,,
Notebook Container,http://cor.esipfed.org/ont/earthcube/RTE_000011,"Jupyter hub, etc. ",,,,,,,,,,,,,,,,,,,,,,,
