Pruned for the form,URI,
Creative Commons Attribution (CC BY),http://cor.esipfed.org/ont/CCL_0000001,http://creativecommons.org/licenses/by/4.0/
Creative Commons Attribution ShareAlike (CC BY-SA),http://cor.esipfed.org/ont/CCL_0000002,
Creative Commons Attribution-NoDerivatives 1.0,http://cor.esipfed.org/ont/CCL_0000003,
Creative Commons Attribution-NonCommercial (CC BY-NC),http://cor.esipfed.org/ont/CCL_0000004,
Creative Commons Attribution-NonCommercial-ShareAlike (CC BY-NC-SA),http://cor.esipfed.org/ont/CCL_0000005,
Creative Commons Attribution-NonCommercial-NoDerivatives (CC BY-NC-ND),http://cor.esipfed.org/ont/CCL_0000007,
Creative Commons Public Domain,http://cor.esipfed.org/ont/CCL_0000011,
Creative Commons CC0 'No Rights Reserved',https://creativecommons.org/publicdomain/zero/1.0/,
Creative Commons PDM 'No Known Copyright',http://core.esipfed.org/ont/SWL_0000014,
Common Development and Distribution License 1.0,https://opensource.org/licenses/CDDL-1.0,
Eclipse Public License version 2.0,https://opensource.org/licenses/EPL-2.0,
MIT,https://opensource.org/licenses/MIT,
Apache,http://cor.esipfed.org/ont/SWL_0000013,https://opensource.org/licenses/Apache-2.0
BSD,http://cor.esipfed.org/ont/SWL_0000015,
Mozilla Public License 2.0 (MPL-2.0),https://opensource.org/licenses/MPL-2.0,
GNU General Public License (GPL),http://cor.esipfed.org/ont/SWL_0000017,http://www.gnu.org/licenses/gpl-3.0.html
GNU Lesser General Public License (LGPL),http://cor.esipfed.org/ont/SWL_0000018,
GNU Affero General Public License (AGPL),https://www.gnu.org/licenses/agpl-3.0.html,
Proprietary,http://cor.esipfed.org/ont/SWL_0000019,
